timestamp,open,high,low,close,volume
1593388800000,9112,9296.5,8903.5,9079,3304002654,362394.0745162626
1592784000000,9284,9793,8823.5,9112,4717618898,508953.5277959802
1592179200000,9331,9599,8901,9284,4663829804,499886.8114891458
1591574400000,9755.5,10038,9040,9331,4715407488,492629.0188579576
1590969600000,9443,10444,9262,9755.5,6000030684,618413.7155205738
1590364800000,8706.5,9746.5,8614,9443,5866699469,637531.0220581146
1589760000000,9675,9974,8668.5,8706.5,7961088396,848632.9619114626
1589155200000,8724.5,9960,8165,9675,10590388819,1151784.1220723519
1588550400000,8905,10098.5,8088,8724.5,11636048436,1268912.9266545656
1587945600000,7703,9482.5,7629,8905,9161115560,1056548.3622940849
1587340800000,7126,7801,6755,7703,4456780417,614336.0977672682
1586736000000,6906,7301,6464.5,7126,4835459354,697870.7837188436
1586131200000,6775.5,7475,6751.5,6906,5191980668,728623.830867804
1585526400000,5867.5,7273.5,5843,6775.5,5751289920,868131.1501813141
1584921600000,5815,6981.5,5677,5867.5,5371148598,834936.411805703
1584316800000,5344.5,6938,4398,5815,7486632714,1321239.978874224
1583712000000,8041.5,8185,3730,5344.5,10931228724,1786302.2308816961
1583107200000,8527.5,9224,8007.5,8041.5,4564373974,518671.363819835
1582502400000,9970,10032.5,8404,8527.5,5582374417,621409.3722976457
1581897600000,9937,10321.5,9267.5,9970,5442865497,555272.5960364105
1581292800000,10168.5,10549.5,9635.5,9937,7343061415,725059.4592012836
1580688000000,9331.5,10182,9085,10168.5,5877348821,610369.7647770005
1580083200000,8596,9575,8569,9331.5,6264706912,680186.5805531321
1579478400000,8701,8799,8223,8596,4115260769,484318.5847072623
1578873600000,8185,9188,8038.5,8701,7518886289,864220.0003483663
1578268800000,7349.5,8461.5,7341.5,8185,7910264406,990705.4419712472
1577664000000,7383,7488.5,6854.5,7349.5,3849331663,531492.6102625745
1577059200000,7504.5,7691.5,7058,7383,4011760871,547820.4087873822
1576454400000,7110,7517,6420,7504.5,5710210240,819101.5682281493
1575849600000,7518,7688.5,7002,7110,5148247924,710120.1224748901
1575244800000,7400,7795,7085.5,7518,6594412513,894067.5721448207
1574640000000,6905,7872,6519,7400,9670432323,1329441.6719162662
1574035200000,8512,8512,6735.5,6905,8503465921,1136295.0536178192
1573430400000,9039.5,9076.5,8355,8512,3556769884,411382.1883840663
1572825600000,9210.5,9612.5,8680,9039.5,4154521326,456096.5222161618
1572220800000,9549.5,9938,8960,9210.5,7247526866,776690.3474822845
1571616000000,8230,10558,7301,9549.5,9808423044,1116715.3548808049
1571011200000,8287.5,8424,7815,8230,3642924632,450233.1994567595
1570406400000,7861,8809,7764.5,8287.5,4605946840,552335.6263082977
1569801600000,8054,8539.5,7690,7861,4646953366,569656.8637353299
1569196800000,10020.5,10045,7744.5,8054,7931327644,930827.4797324424
1568592000000,10308,10409,9590,10020.5,4187629727,414455.8833078924
1567987200000,10388,10550,9858,10308,4421237753,431773.5322532026
1567382400000,9773,10962,9749.5,10388,5897808299,561856.7249747576
1566777600000,10147.5,10703,9322.5,9773,3372247143,342799.8062754108
1566172800000,10318.5,10962,9750,10147.5,3720393432,361309.2566872918
1565568000000,11553.5,11557,9480,10318.5,5276343437,507752.7007972727
1564963200000,10986,12342.5,10985.5,11553.5,6376949052,545048.1440111104
1564358400000,9532,11090,9369,10986,3618064332,355337.6255240205
1563753600000,10586,10685,9103.5,9532,3948185298,400060.4443042563
1563148800000,10192,11115,9084.5,10586,5900255182,579735.083368801
1562544000000,11479,13247,10089,10192,6105380999,520131.012784861
1561939200000,10767,12062.5,9661,11479,4599769635,416295.1320820528
1561334400000,10850,13916,10325,10767,6478879937,551922.6345017237
1560729600000,8975,11285.5,8940,10850.5,2829204595,284226.1165800729
1560124800000,7630,9439,7515.5,8975,1679477416,200548.2380669672
1559520000000,8738.5,8746.5,7435,7630,1686177984,213003.7085514076
1558915200000,8753.5,9100,8017.5,8738.5,1804655783,209687.9589968044
1558310400000,8206.5,8869.5,7462,8753.5,1033308705,129860.850856524
1557705600000,6975.5,8400,6480.5,8206.5,1421086922,184093.1575954763
